time,open,high,low,close,volumeto,coin
2022-02-20,91.31,93.94,85.69,90.75,204093998.88,solana
2022-02-21,90.75,96.16,82.73,82.99,318962743.74,solana
2022-02-22,82.99,87.59,81.06,86.44,230849974.3,solana
2022-02-23,86.44,93.34,84.44,84.61,277768525.33,solana
2022-02-24,84.61,92.69,75.43,89.41,538981764.35,solana
2022-02-25,89.41,95.05,86.88,92.84,297429202.39,solana
2022-02-26,92.84,95.16,89.29,90.29,157334183.7,solana
2022-02-27,90.29,92.23,84.18,85.66,188776935.86,solana
2022-02-28,85.66,102.36,84.21,99.75,369874400.47,solana
2022-03-01,99.75,101.88,94.39,98.65,407426810.39,solana
2022-03-02,98.65,106.37,96.85,100.75,428576214.75,solana
2022-03-03,100.75,101.71,94.1,95.6,278704905.4,solana
2022-03-04,95.6,95.88,87.03,88.24,306775823.32,solana
2022-03-05,88.24,91.15,86.08,89.61,168076878.78,solana
2022-03-06,89.61,89.9,84.19,84.55,171163848.23,solana
2022-03-07,84.55,86.58,79.99,81.88,255503806.44,solana
2022-03-08,81.88,84.98,81.39,82.31,215223179.74,solana
2022-03-09,82.31,89.75,82.03,88.07,269117776.74,solana
2022-03-10,88.07,88.61,80.99,82.93,220016654.11,solana
2022-03-11,82.93,84.28,80.09,80.67,191067932.33,solana
2022-03-12,80.67,82.72,80.64,81.41,80580765.04,solana
2022-03-13,81.41,83.17,77.92,78.76,112520909.44,solana
2022-03-14,78.76,82.23,78.07,81.26,164972651.57,solana
2022-03-15,81.26,85.88,78.91,82.85,168558780.05,solana
2022-03-16,82.85,87.99,81.55,87.84,225016506.95,solana
2022-03-17,87.84,90.99,86.68,87.88,237060413.77,solana
2022-03-18,87.88,91.99,84.53,89.81,251097931.84,solana
2022-03-19,89.81,94.55,89.3,92.41,215508005.89,solana
2022-03-20,92.41,92.53,87.97,88.6,133350638.96,solana
2022-03-21,88.6,91.22,86.92,88.65,170292028.02,solana
2022-03-22,88.65,93.96,88.05,90.47,197326594.02,solana
2022-03-23,90.47,96.27,89.35,94.89,254875496.99,solana
2022-03-24,94.89,103.71,93.53,102.39,406947040.56,solana
2022-03-25,102.39,104.86,97.12,98.65,308110782.24,solana
2022-03-26,98.65,103.39,97.72,101.79,159502489.33,solana
2022-03-27,101.79,107.44,98.89,107.08,190435562.18,solana
2022-03-28,107.08,113.84,105.22,105.93,416216471.12,solana
2022-03-29,105.93,115.65,105.61,111.78,418092940.64,solana
